hash_algorithm,key_size,message_size,sign_delay_ms,sign_std,verify_delay_ms,verify_std,transmission_delay_ms,transmission_std,sign_ci95,verify_ci95,transmission_ci95
SHA256,1024,50,6.363670001737773,2.2673342331526434,13.863110993988812,5.05237788168663,14.123450997285545,5.1041703476200615,0.44439750969791814,0.9902660648105795,1.000417388133532
SHA256,1024,100,3.8905030000023544,1.6965469890886313,8.973619990283623,4.205372306613748,9.268471003742889,4.199124971778863,0.33252320986137174,0.8242529720962948,0.8230284944686572
SHA256,1024,150,3.1007690040860325,0.2175672139145034,6.900644002016634,0.4777154653435357,7.193448001053184,0.47384687800428804,0.042643173927242664,0.093632231207333,0.09287398808884045
SHA256,1024,200,3.369140998693183,0.9628297286719294,7.584384998772293,2.529315870183508,7.871161996154115,2.5277657807212703,0.18871462681969814,0.49574591055596756,0.495442093021369
SHA256,1024,250,3.082486999919638,0.16189242934084958,6.956205002497882,0.7477969856834049,7.256935008335859,0.7479713343170463,0.03173091615080652,0.14656820919394736,0.14660238152614108
SHA256,2048,50,19.842850004788488,0.3608679050851835,42.14595100027509,0.8303720854074683,42.45371800730936,0.8394996165271793,0.07073010939669597,0.16275292873986377,0.16454192483932714
SHA256,2048,100,19.93963899440132,0.6272979565618448,42.258361999411136,1.0123243046924653,42.55699798814021,1.0159053461873688,0.12295039948612159,0.1984155637197232,0.19911744785272428
SHA256,2048,150,19.8537840123754,0.4701622006298015,42.45642699301243,2.1078762687383206,42.76401400566101,2.111588195951267,0.0921517913234411,0.41314374867271086,0.4138712864064483
SHA256,2048,200,19.89413799252361,0.4897473680235527,42.32851701788604,1.790295439943329,42.6289299945347,1.7906193695636565,0.09599048413261632,0.3508979062288925,0.35096139643447666
SHA256,2048,250,22.726385011337698,6.114110760759972,49.052520010154694,13.62972866427791,49.34110900387168,13.601493425776749,1.1983657091089543,2.67142681819847,2.665892711452243
SHA384,256,50,0.342469981405884,0.09209867726224018,0.9490430005826056,0.2632937875043903,1.1560139991343021,0.302780976710715,0.018051340743399074,0.051605582350860504,0.05934507143530014
SHA384,256,100,0.34236400853842497,0.09171955757159098,0.9365639952011406,0.26363846241567096,1.1411820049397647,0.30098031291306504,0.017977033284031833,0.051673138633471505,0.05899214133096074
SHA384,256,150,0.314937001094222,0.10111346365630387,0.9214580012485385,0.284678668856929,1.127920988947153,0.32718480613884693,0.019818238876635558,0.05579701909595808,0.064128222003214
SHA384,256,200,0.2152570127509534,0.09524238579748989,0.6277539976872504,0.2537948879519801,0.8093350240960717,0.2960135475612149,0.01866750761630802,0.0497437980385881,0.05801865532199811
SHA384,256,250,0.296361984219402,0.10572350810798724,0.8667340129613876,0.29006922513755806,1.0679250163957477,0.3344162949157012,0.020721807589165496,0.056853568126961386,0.06554559380347744
SHA384,512,50,1.1799869989044964,0.45285356628024187,3.060977989807725,1.0930835529850385,3.271598997525871,1.1533549235888232,0.08875929899092741,0.21424437638506752,0.22605756502340935
